codigo;descricao
K009;DISTURBIO NAO ESPECIFICADO DO DESENVOLVIMENTO DENTARIO
K010;DENTES INCLUSOS
K011;DENTES IMPACTADOS
K020;CARIES LIMITADAS AO ESMALTE
K021;CARIES DA DENTINA
K022;CARIE DO CEMENTO
K023;CARIES DENTARIAS ESTAVEIS
K024;ODONTOCLASIA
K028;OUTRAS CARIES DENTARIAS
K029;CARIE DENTARIA, SEM OUTRA ESPECIFICACAO
K030;ATRITO DENTARIO EXCESSIVO
K031;ABRASAO DENTARIA
K032;EROSAO DENTARIA
K033;REABSORCAO PATOLOGICA DOS DENTES
K034;HIPERCEMENTOSE
K035;ANCILOSE DENTARIA
K036;DEPOSITOS NOS DENTES
K037;ALTERACOES POS-ERUPTIVAS DA COR DOS TECIDOS DUROS DOS DENTES
K038;OUTRAS DOENCAS ESPECIFICADAS DOS TECIDOS DUROS DOS DENTES
K039;DOENCA DOS TECIDOS DUROS DOS DENTES, NAO ESPECIFICADA
K040;PULPITE
K041;NECROSE DA POLPA
K042;DEGENERACAO DA POLPA
K043;FORMACAO ANORMAL DE TECIDOS DUROS NA POLPA
K044;PERIODONTITE APICAL AGUDA DE ORIGEM PULPAR
K045;PERIODONTITE APICAL CRONICA
K046;ABSCESSO PERIAPICAL COM FISTULA
K047;ABSCESSO PERIAPICAL SEM FISTULA
K048;CISTO RADICULAR
K049;OUTRAS DOENCAS DA POLPA E DOS TECIDOS PERIAPICAIS E AS NAO ESPECIFICADAS
K050;GENGIVITE AGUDA
K051;GENGIVITE CRONICA
K052;PERIODONTITE AGUDA
K053;PERIODONTITE CRONICA
K054;PERIODONTOSE
K055;OUTRAS DOENCAS PERIODONTAIS
K056;DOENCA PERIODONTAL, SEM OUTRA ESPECIFICACAO
K060;RETRACAO GENGIVAL
K061;HIPERPLASIA GENGIVAL
K062;LESOES DA GENGIVA E DO REBORDO ALVEOLAR SEM DENTES, ASSOCIADAS A TRAUMATISMOS
K068;OUTROS TRANSTORNOS ESPECIFICADOS DA GENGIVA E DO REBORDO ALVEOLAR SEM DENTES
K069;TRANSTORNO DA GENGIVA E DO REBORDO ALVEOLAR SEM DENTES SEM OUTRA ESPECIFICACAO
K070;ANOMALIAS IMPORTANTES (MAJOR) DO TAMANHO DA MANDIBULA
K071;ANOMALIAS DA RELACAO ENTRE A MANDIBULA COM A BASE DO CRANIO
K072;ANOMALIAS DA RELACAO ENTRE AS ARCADAS DENTARIAS
K073;ANOMALIAS DA POSICAO DOS DENTES
K074;MALOCLUSAO, NAO ESPECIFICADA
K075;ANORMALIDADES DENTOFACIAIS FUNCIONAIS
K076;TRANSTORNOS DA ARTICULACAO TEMPOROMANDIBULAR
K078;OUTRAS ANOMALIAS DENTOFACIAIS
K079;ANOMALIA DENTOFACIAL, SEM OUTRA ESPECIFICACAO
K080;EXFOLIACAO DOS DENTES DEVIDA A CAUSAS SISTEMICAS
K081;PERDA DE DENTES DEVIDA A ACIDENTE, EXTRACAO OU A DOENCAS PERIODONTAIS LOCALIZADAS
K082;ATROFIA DO REBORDO ALVEOLAR SEM DENTES
K083;RAIZ DENTARIA RETIDA
K088;OUTROS TRANSTORNOS ESPECIFICADOS DOS DENTES E DAS ESTRUTURAS DE SUSTENTACAO
K089;TRANSTORNO DOS DENTES E DE SUAS ESTRUTURAS DE SUSTENTACAO, SEM OUTRA ESPECIFICACAO
K090;CISTOS ODONTOGENICOS DE DESENVOLVIMENTO
K091;CISTOS DE DESENVOLVIMENTO (NAO-ODONTOGENICOS) DA REGIAO BUCAL
K092;OUTROS CISTOS DAS MANDIBULAS
K098;OUTROS CISTOS DA REGIAO ORAL NAO CLASSIFICADOS EM OUTRA PARTE
K099;CISTOS DA REGIAO ORAL, SEM OUTRAS ESPECIFICACOES
K100;TRANSTORNOS DO DESENVOLVIMENTO DOS MAXILARES
K101;GRANULOMA CENTRAL DE CELULAS GIGANTES
K102;AFECCOES INFLAMATORIAS DOS MAXILARES
K103;ALVEOLITE MAXILAR
K108;OUTRAS DOENCAS ESPECIFICADAS DOS MAXILARES
K109;DOENCA DOS MAXILARES, SEM OUTRA ESPECIFICACAO
K110;ATROFIA DE GLANDULA SALIVAR
K111;HIPERTROFIA DE GLANDULA SALIVAR
K112;SIALADENITE
K113;ABSCESSO DE GLANDULA SALIVAR
K114;FISTULA DE GLANDULA SALIVAR
K115;SIALOLITIASE
K116;MUCOCELE DE GLANDULA SALIVAR
K117;ALTERACOES DA SECRECAO SALIVAR
K118;OUTRAS DOENCAS DAS GLANDULAS SALIVARES
K119;DOENCA DE GLANDULA SALIVAR, SEM OUTRA ESPECIFICACAO
K120;AFTAS BUCAIS RECIDIVANTES
K121;OUTRAS FORMAS DE ESTOMATITE
K122;CELULITE E ABSCESSO DA BOCA
K130;DOENCAS DOS LABIOS
K131;MORDEDURA DA MUCOSA DAS BOCHECHAS E DOS LABIOS
K132;LEUCOPLASIA E OUTRAS AFECCOES DO EPITELIO ORAL, INCLUSIVE DA LINGUA
K133;LEUCOPLASIA PILOSA
K134;LESOES GRANULOMATOSAS E GRANULOMATOIDES DA MUCOSA ORAL
K135;FIBROSE ORAL SUBMUCOSA
K136;HIPERPLASIA IRRITATIVA DA MUCOSA ORAL
K137;OUTRAS LESOES E AS NAO ESPECIFICADAS DA MUCOSA ORAL
K140;GLOSSITE
K141;LINGUA GEOGRAFICA
K142;GLOSSITE ROMBOIDE MEDIANA
K143;HIPERTROFIA DAS PAPILAS LINGUAIS
K144;ATROFIA DAS PAPILAS LINGUAIS
K145;LINGUA ESCROTAL
K146;GLOSSODINIA
K148;OUTRAS DOENCAS DA LINGUA
K149;DOENCA DA LINGUA, SEM OUTRA ESPECIFICACAO
K20;ESOFAGITE
K210;DOENCA DE REFLUXO GASTROESOFAGICO COM ESOFAGITE
K219;DOENCA DE REFLUXO GASTROESOFAGICO SEM ESOFAGITE
K220;ACALASIA DO CARDIA
K221;ULCERA DO ESOFAGO
K222;OBSTRUCAO DO ESOFAGO
K223;PERFURACAO DO ESOFAGO
K224;DISCINESIA DO ESOFAGO
K225;DIVERTICULO DO ESOFAGO ADQUIRIDO
K226;SINDROME DA LACERACAO HEMORRAGICA GASTROESOFAGICA
K227;ESOFAGO DE BARRET
K228;OUTRAS DOENCAS ESPECIFICADAS DO ESOFAGO
K229;DOENCA DO ESOFAGO, SEM OUTRA ESPECIFICACAO
K230;ESOFAGITE TUBERCULOSA
K231;MEGAESOFAGO NA DOENCA DE CHAGAS
K238;TRANSTORNOS DO ESOFAGO EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
K250;ULCERA GASTRICA - AGUDA COM HEMORRAGIA
K251;ULCERA GASTRICA - AGUDA COM PERFURACAO
K252;ULCERA GASTRICA - AGUDA COM HEMORRAGIA E PERFURACAO
K253;ULCERA GASTRICA - AGUDA SEM HEMORRAGIA OU PERFURACAO
K254;ULCERA GASTRICA - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA
K255;ULCERA GASTRICA - CRONICA OU NAO ESPECIFICADA COM PERFURACAO
K256;ULCERA GASTRICA - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA E PERFURACAO
K257;ULCERA GASTRICA - CRONICA SEM HEMORRAGIA OU PERFURACAO
K259;ULCERA GASTRICA - NAO ESPECIFICADA COMO AGUDA OU CRONICA, SEM HEMORRAGIA OU PERFURACAO
K260;ULCERA DUODENAL - AGUDA COM HEMORRAGIA
K261;ULCERA DUODENAL - AGUDA COM PERFURACAO
K262;ULCERA DUODENAL - AGUDA COM HEMORRAGIA E PERFURACAO
K263;ULCERA DUODENAL - AGUDA SEM HEMORRAGIA OU PERFURACAO
K264;ULCERA DUODENAL - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA
K265;ULCERA DUODENAL - CRONICA OU NAO ESPECIFICADA COM PERFURACAO
K266;ULCERA DUODENAL - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA E PERFURACAO
K267;ULCERA DUODENAL - CRONICA SEM HEMORRAGIA OU PERFURACAO
K269;ULCERA DUODENAL - NAO ESPECIFICADA COMO AGUDA OU CRONICA, SEM HEMORRAGIA OU PERFURACAO
K270;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - AGUDA COM HEMORRAGIA
K271;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - AGUDA COM PERFURACAO
K272;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - AGUDA COM HEMORRAGIA E PERFURACAO
K273;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - AGUDA SEM HEMORRAGIA OU PERFURACAO
K274;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA
K275;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - CRONICA OU NAO ESPECIFICADA COM PERFURACAO
K276;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA E PERFURACAO
K277;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - CRONICA SEM HEMORRAGIA OU PERFURACAO
K279;ULCERA PEPTICA DE LOCALIZACAO NAO ESPECIFICADA - NAO ESPECIFICADA COMO AGUDA OU CRONICA, SEM HEMORRAGIA OU PERFURACAO
K280;ULCERA GASTROJEJUNAL - AGUDA COM HEMORRAGIA
K281;ULCERA GASTROJEJUNAL - AGUDA COM PERFURACAO
K282;ULCERA GASTROJEJUNAL - AGUDA COM HEMORRAGIA E PERFURACAO
K283;ULCERA GASTROJEJUNAL - AGUDA SEM HEMORRAGIA OU PERFURACAO
K284;ULCERA GASTROJEJUNAL - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA
K285;ULCERA GASTROJEJUNAL - CRONICA OU NAO ESPECIFICADA COM PERFURACAO
K286;ULCERA GASTROJEJUNAL - CRONICA OU NAO ESPECIFICADA COM HEMORRAGIA E PERFURACAO
K287;ULCERA GASTROJEJUNAL - CRONICA SEM HEMORRAGIA OU PERFURACAO
K289;ULCERA GASTROJEJUNAL - NAO ESPECIFICADA COMO AGUDA OU CRONICA, SEM HEMORRAGIA OU PERFURACAO
K290;GASTRITE HEMORRAGICA AGUDA
K291;OUTRAS GASTRITES AGUDAS
K292;GASTRITE ALCOOLICA
K293;GASTRITE SUPERFICIAL CRONICA
K294;GASTRITE ATROFICA CRONICA
K295;GASTRITE CRONICA, SEM OUTRA ESPECIFICACAO
K296;OUTRAS GASTRITES
K297;GASTRITE NAO ESPECIFICADA
K298;DUODENITE
K299;GASTRODUODENITE, SEM OUTRA ESPECIFICACAO
K30;DISPEPSIA
K310;DILATACAO AGUDA DO ESTOMAGO
K311;ESTENOSE PILORICA HIPERTROFICA DO ADULTO
K312;ESTENOSE E ESTREITAMENTO EM AMPULHETA DO ESTOMAGO
K313;ESPASMO DO PILORO NAO CLASSIFICADO EM OUTRA PARTE
K314;DIVERTICULO GASTRICO
K315;OBSTRUCAO DO DUODENO
K316;FISTULA DO ESTOMAGO E DO DUODENO
K317;POLIPO DO ESTOMAGO E DO DUODENO
K318;OUTRAS DOENCAS ESPECIFICADAS DO ESTOMAGO E DO DUODENO
K319;DOENCAS DO ESTOMAGO E DO DUODENO, SEM OUTRA ESPECIFICACAO
K350;APENDICITE AGUDA COM PERITONITE GENERALIZADA
K351;APENDICITE AGUDA COM ABSCESSO PERITONIAL
K359;APENDICITE AGUDA SEM OUTRA ESPECIFICACAO
K36;OUTRAS FORMAS DE APENDICITE
K37;APENDICITE, SEM OUTRAS ESPECIFICACOES
K380;HIPERPLASIA DO APENDICE
K381;CONCRECOES APENDICULARES
K382;DIVERTICULO DO APENDICE
K383;FISTULA DO APENDICE
K388;OUTRAS DOENCAS ESPECIFICADAS DO APENDICE
K389;DOENCA DO APENDICE, SEM OUTRA ESPECIFICACAO
K400;HERNIA INGUINAL BILATERAL, COM OBSTRUCAO, SEM GANGRENA
K401;HERNIA INGUINAL BILATERAL, COM GANGRENA
K402;HERNIA INGUINAL BILATERAL, SEM OBSTRUCAO OU GANGRENA
K403;HERNIA INGUINAL UNILATERAL OU NAO ESPECIFICADA, COM OBSTRUCAO SEM GANGRENA
K404;HERNIA INGUINAL UNILATERAL OU NAO ESPECIFICADA, COM GANGRENA
K409;HERNIA INGUINAL UNILATERAL OU NAO ESPECIFICADA, SEM OBSTRUCAO OU GANGRENA
K410;HERNIA FEMORAL BILATERAL, COM OBSTRUCAO, SEM GANGRENA
K411;HERNIA FEMORAL BILATERAL, COM GANGRENA
K412;HERNIA FEMORAL BILATERAL, SEM OBSTRUCAO OU GANGRENA
K413;HERNIA FEMORAL UNILATERAL OU NAO ESPECIFICADA, COM OBSTRUCAO, SEM GANGRENA
K414;HERNIA FEMORAL UNILATERAL OU NAO ESPECIFICADA, COM GANGRENA
K419;HERNIA FEMORAL UNILATERAL OU NAO ESPECIFICADA, SEM OBSTRUCAO OU GANGRENA
K420;HERNIA UMBILICAL COM OBSTRUCAO, SEM GANGRENA
K421;HERNIA UMBILICAL COM GANGRENA
K429;HERNIA UMBILICAL SEM OBSTRUCAO OU GANGRENA
K430;HERNIA VENTRAL COM OBSTRUCAO, SEM GANGRENA
K431;HERNIA VENTRAL COM GANGRENA
K439;HERNIA VENTRAL SEM OBSTRUCAO OU GANGRENA
K440;HERNIA DIAFRAGMATICA COM OBSTRUCAO, SEM GANGRENA
K441;HERNIA DIAFRAGMATICA COM GANGRENA
K449;HERNIA DIAFRAGMATICA SEM OBSTRUCAO OU GANGRENA
K450;OUTRAS HERNIAS ABDOMINAIS ESPECIFICADAS, COM OBSTRUCAO, SEM GANGRENA
K451;OUTRAS HERNIAS ABDOMINAIS ESPECIFICADAS, COM GANGRENA
K458;OUTRAS HERNIAS ABDOMINAIS ESPECIFICADAS, SEM OBSTRUCAO OU GANGRENA
K460;HERNIA ABDOMINAL NAO ESPECIFICADA, COM OBSTRUCAO, SEM GANGRENA
K461;HERNIA ABDOMINAL NAO ESPECIFICADA COM GANGRENA
K469;HERNIA ABDOMINAL NAO ESPECIFICADA, SEM OBSTRUCAO OU GANGRENA
K500;DOENCA DE CROHN DO INTESTINO DELGADO
K501;DOENCA DE CROHN DO INTESTINO GROSSO
K508;OUTRA FORMA DE DOENCA DE CROHN
K509;DOENCA DE CROHN DE LOCALIZACAO NAO ESPECIFICADA
K510;ENTEROCOLITE ULCERATIVA (CRONICA)
K511;ILEOCOLITE ULCERATIVA (CRONICA)
K512;PROCTITE ULCERATIVA (CRONICA)
K513;RETOSSIGMOIDITE ULCERATIVA (CRONICA)
K514;PSEUDOPOLIPOSE DO COLON
K515;PROCTOCOLITE MUCOSA
K518;OUTRAS COLITES ULCERATIVAS
K519;COLITE ULCERATIVA, SEM OUTRA ESPECIFICACAO
K520;GASTROENTERITE E COLITE DEVIDA A RADIACAO
K521;GASTROENTERITE E COLITE TOXICAS
K522;GASTROENTERITE E COLITE ALERGICAS OU LIGADAS A DIETA
K528;OUTRAS GASTROENTERITES E COLITES ESPECIFICADAS, NAO-INFECCIOSAS
K529;GASTROENTERITE E COLITE NAO-INFECCIOSAS, NAO ESPECIFICADAS
K550;TRANSTORNOS VASCULARES AGUDOS DO INTESTINO
K551;TRANSTORNOS VASCULARES CRONICOS DO INTESTINO
K552;ANGIODISPLASIA DO COLON
K558;OUTROS TRANSTORNOS VASCULARES DO INTESTINO
K559;TRANSTORNO VASCULAR DO INTESTINO, SEM OUTRA ESPECIFICACAO
K560;ILEO PARALITICO
K561;INTUSSUSCEPCAO
K562;VOLVO
K563;ILEO BILIAR
K564;OUTRAS OBSTRUCOES DO INTESTINO
K565;ADERENCIAS INTESTINAIS (BRIDAS) COM OBSTRUCAO
K566;OUTRAS FORMAS DE OBSTRUCAO INTESTINAL, E AS NAO ESPECIFICADAS
K567;ILEO, NAO ESPECIFICADO
K570;DOENCA DIVERTICULAR DO INTESTINO DELGADO COM PERFURACAO E ABSCESSO
K571;DOENCA DIVERTICULAR DO INTESTINO DELGADO SEM PERFURACAO OU ABSCESSO
K572;DOENCA DIVERTICULAR DO INTESTINO GROSSO COM PERFURACAO E ABSCESSO
K573;DOENCA DIVERTICULAR DO INTESTINO GROSSO SEM PERFURACAO OU ABSCESSO
K574;DOENCA DIVERTICULAR CONCOMITANTE DOS INTESTINOS DELGADO E GROSSO COM PERFURACAO E ABSCESSO
K575;DOENCA DIVERTICULAR CONCOMITANTE DOS INTESTINOS DELGADO E GROSSO SEM PERFURACAO OU ABSCESSO
K578;DOENCA DIVERTICULAR DO INTESTINO, DE LOCALIZACAO NAO ESPECIFICADA, COM PERFURACAO E ABSCESSO
K579;DOENCA DIVERTICULAR DO INTESTINO, DE LOCALIZACAO NAO ESPECIFICADA, SEM PERFURACAO OU ABSCESSO
K580;SINDROME DO COLON IRRITAVEL COM DIARREIA
K589;SINDROME DO COLON IRRITAVEL SEM DIARREIA
K590;CONSTIPACAO
K591;DIARREIA FUNCIONAL
K592;COLON NEUROGENICO NAO CLASSIFICADO EM OUTRA PARTE
K593;MEGACOLON NAO CLASSIFICADO EM OUTRA PARTE
K594;ESPASMO ANAL
K598;OUTROS TRANSTORNOS FUNCIONAIS ESPECIFICADOS DO INTESTINO
K599;TRANSTORNO INTESTINAL FUNCIONAL, NAO ESPECIFICADO
K600;FISSURA ANAL AGUDA
K601;FISSURA ANAL CRONICA
K602;FISSURA ANAL, NAO ESPECIFICADA
K603;FISTULA ANAL
K604;FISTULA RETAL
K605;FISTULA ANORRETAL
K610;ABSCESSO ANAL
K611;ABSCESSO RETAL
K612;ABSCESSO ANORRETAL
K613;ABSCESSO ISQUIO-RETAL
K614;ABSCESSO INTRA-ESFINCTERIANO
K620;POLIPO ANAL
K621;POLIPO RETAL
K622;PROLAPSO ANAL
K623;PROLAPSO RETAL
K624;ESTENOSE DO ANUS E DO RETO
K625;HEMORRAGIA DO ANUS E DO RETO
K626;ULCERA DO ANUS E DO RETO
K627;PROCTITE POR RADIACAO
K628;OUTRAS DOENCAS ESPECIFICADAS DO ANUS E DO RETO
K629;DOENCA DO ANUS E DO RETO, SEM OUTRA ESPECIFICACAO
K630;ABSCESSO DO INTESTINO
K631;PERFURACAO DO INTESTINO (NAO-TRAUMATICA)
K632;FISTULA DO INTESTINO
K633;ULCERA DO INTESTINO
K634;ENTEROPTOSE
K635;POLIPO DO COLON
K638;OUTRAS DOENCAS ESPECIFICADAS DO INTESTINO
K639;DOENCA DO INTESTINO, SEM OUTRA ESPECIFICACAO
K650;PERITONITE AGUDA
K658;OUTRAS PERITONITES
K659;PERITONITE, SEM OUTRAS ESPECIFICACOES
K660;ADERENCIAS PERITONIAIS
K661;HEMOPERITONIO
K668;OUTRAS AFECCOES ESPECIFICADAS DO PERITONIO
K669;AFECCOES DO PERITONIO, SEM OUTRA ESPECIFICACAO
K670;PERITONITE POR CLAMIDIAS
K671;PERITONITE GONOCOCICA
K672;PERITONITE SIFILITICA
K673;PERITONITE TUBERCULOSA
K678;OUTRAS FORMAS DE COMPROMETIMENTO DO PERITONIO EM DOENCAS INFECCIOSAS CLASSIFICADAS EM OUTRA PARTE
K700;FIGADO GORDUROSO ALCOOLICO
K701;HEPATITE ALCOOLICA
K702;FIBROSE E ESCLEROSE ALCOOLICAS DO FIGADO
K703;CIRROSE HEPATICA ALCOOLICA
K704;INSUFICIENCIA HEPATICA ALCOOLICA
K709;DOENCA ALCOOLICA DO FIGADO, SEM OUTRA ESPECIFICACAO
K710;DOENCA HEPATICA TOXICA COM COLESTASE
K711;DOENCA HEPATICA TOXICA COM NECROSE HEPATICA
K712;DOENCA HEPATICA TOXICA COM HEPATITE AGUDA
K713;DOENCA HEPATICA TOXICA COM HEPATITE CRONICA PERSISTENTE
K714;DOENCA HEPATICA TOXICA COM HEPATITE CRONICA LOBULAR
K715;DOENCA HEPATICA TOXICA COM HEPATITE CRONICA ATIVA
K716;DOENCA HEPATICA TOXICA COM HEPATITE NAO CLASSIFICADA EM OUTRA PARTE
K717;DOENCA HEPATICA TOXICA COM FIBROSE E CIRROSE HEPATICAS
K718;DOENCA HEPATICA TOXICA COM OUTROS TRANSTORNOS DO FIGADO
K719;DOENCA HEPATICA TOXICA, SEM OUTRA ESPECIFICACAO
K720;INSUFICIENCIA HEPATICA AGUDA E SUBAGUDA
K721;INSUFICIENCIA HEPATICA CRONICA
K729;INSUFICIENCIA HEPATICA, SEM OUTRAS ESPECIFICACOES
K730;HEPATITE CRONICA PERSISTENTE, NAO CLASSIFICADA EM OUTRA PARTE
K731;HEPATITE CRONICA LOBULAR, NAO CLASSIFICADA EM OUTRA PARTE
K732;HEPATITE CRONICA ATIVA, NAO CLASSIFICADA EM OUTRA PARTE
K738;OUTRAS HEPATITES CRONICAS NAO CLASSIFICADA EM OUTRA PARTE
K739;HEPATITE CRONICA, SEM OUTRA ESPECIFICACAO
K740;FIBROSE HEPATICA
K741;ESCLEROSE HEPATICA
K742;FIBROSE HEPATICA COM ESCLEROSE HEPATICA
K743;CIRROSE BILIAR PRIMARIA
K744;CIRROSE BILIAR SECUNDARIA
K745;CIRROSE BILIAR, SEM OUTRA ESPECIFICACAO
K746;OUTRAS FORMAS DE CIRROSE HEPATICA E AS NAO ESPECIFICADAS
K750;ABSCESSO HEPATICO
K751;FLEBITE DA VEIA PORTA
K752;HEPATITE REATIVA NAO-ESPECIFICA
K753;HEPATITE GRANULOMATOSA NAO CLASSIFICADA EM OUTRA PARTE
K754;HEPATITE AUTOIMUNE
K758;OUTRAS DOENCAS HEPATICAS INFLAMATORIAS ESPECIFICADAS
K759;DOENCA HEPATICA INFLAMATORIA, SEM OUTRA ESPECIFICACAO
K760;DEGENERACAO GORDUROSA DO FIGADO NAO CLASSIFICADA EM OUTRA PARTE
K761;CONGESTAO PASSIVA CRONICA DO FIGADO
K762;NECROSE HEMORRAGICA CENTRAL DO FIGADO
K763;INFARTO DO FIGADO
K764;PELIOSE HEPATICA
K765;DOENCA HEPATICA VENO-OCLUSIVA
K766;HIPERTENSAO PORTAL
K767;SINDROME HEPATORRENAL
K768;OUTRAS DOENCAS ESPECIFICADAS DO FIGADO
K769;DOENCA HEPATICA, SEM OUTRA ESPECIFICACAO
K770;TRANSTORNOS HEPATICOS EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE
K778;TRANSTORNOS HEPATICOS EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
K800;CALCULOSE DA VESICULA BILIAR COM COLICISTITE AGUDA
K801;CALCULOSE DA VESICULA BILIAR COM OUTRAS FORMAS DE COLECISTITE
K802;CALCULOSE DA VESICULA BILIAR SEM COLECISTITE
K803;CALCULOSE DE VIA BILIAR COM COLANGITE
K804;CALCULOSE DE VIA BILIAR COM COLECISTITE
K805;CALCULOSE DE VIA BILIAR SEM COLANGITE OU COLECISTITE
K808;OUTRAS COLELITIASES
K810;COLECISTITE AGUDA
K811;COLECISTITE CRONICA
K818;OUTRAS COLECISTITES
K819;COLECISTITE, SEM OUTRA ESPECIFICACAO
K820;OBSTRUCAO DA VESICULA BILIAR
K821;HIDROPSIA DA VESICULA BILIAR
K822;PERFURACAO DA VESICULA BILIAR
K823;FISTULA DA VESICULA BILIAR
K824;COLESTEROLOSE DA VESICULA BILIAR
K828;OUTRAS DOENCAS ESPECIFICADAS DA VESICULA BILIAR
K829;DOENCA DA VESICULA BILIAR, SEM OUTRA ESPECIFICACAO
K830;COLANGITE
K831;OBSTRUCAO DE VIA BILIAR
K832;PERFURACAO DE VIA BILIAR
K833;FISTULA DE VIA BILIAR
K834;ESPASMO DO ESFINCTER DE ODDI
K835;CISTO BILIAR
K838;OUTRAS DOENCAS ESPECIFICADAS DAS VIAS BILIARES
K839;DOENCA DAS VIAS BILIARES, SEM OUTRA ESPECIFICACAO
K850;PANCREATITE AGUDA IDIOPATICA
K851;PANCREATITE AGUDA BILIAR
K852;PANCREATITE AGUDA INDUZIDA POR ALCOOL
K853;PANCREATITE AGUDA INDUZIDA POR DROGA
K858;OUTRAS PANCREATITES AGUDAS
K859;PANCREATITE AGUDA, NAO ESPECIFICADA
K860;PANCREATITE CRONICA INDUZIDA POR ALCOOL
K861;OUTRAS PANCREATITES CRONICAS
K862;CISTO DO PANCREAS
K863;PSEUDOCISTO DO PANCREAS
K868;OUTRAS DOENCAS ESPECIFICADAS DO PANCREAS
K869;DOENCA DO PANCREAS, SEM OUTRA ESPECIFICACAO
K870;TRANSTORNOS DA VESICULA BILIAR E DAS VIAS BILIARES EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
K871;TRANSTORNOS DO PANCREAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
K900;DOENCA CELIACA
K901;ESPRU TROPICAL
K902;SINDROME DA ALCA CEGA NAO CLASSIFICADA EM OUTRA PARTE
K903;ESTEATORREIA PANCREATICA
K904;MA-ABSORCAO DEVIDA A INTOLERANCIA NAO CLASSIFICADA EM OUTRA PARTE
K908;OUTRAS FORMAS DE MA-ABSORCAO INTESTINAL
K909;MA-ABSORCAO INTESTINAL, SEM OUTRA ESPECIFICACAO
K910;VOMITOS POS-CIRURGIA GASTROINTESTINAL
K911;SINDROMES POS-CIRURGIA GASTRICA
K912;MA-ABSORCAO POS-CIRURGICA NAO CLASSIFICADA EM OUTRA PARTE
K913;OBSTRUCAO INTESTINAL POS-OPERATORIA
K914;MAU FUNCIONAMENTO DE COLOSTOMIA E ENTEROSTOMIA
K915;SINDROME POS-COLECISTECTOMIA
K918;OUTROS TRANSTORNOS DO APARELHO DIGESTIVO, POS-CIRURGICOS, NAO CLASSIFICADOS EM OUTRA PARTE
K919;TRANSTORNO DO APARELHO DIGESTIVO POS PROCEDIMENTO
K920;HEMATEMESE
K921;MELENA
K922;HEMORRAGIA GASTROINTESTINAL, SEM OUTRA ESPECIFICACAO
K928;OUTRAS DOENCAS ESPECIFICADAS DO APARELHO DIGESTIVO
K929;DOENCA DO APARELHO DIGESTIVO, SEM OUTRA ESPECIFICACAO
K930;TRANSTORNOS DEVIDO A TUBERCULOSE DO INTESTINO, DO PERITONIO E DOS GANGLIOS DO MESENTERIO
K931;MEGACOLON NA DOENCA DE CHAGAS
K938;TRANSTORNOS DE OUTROS ORGAOS DIGESTIVOS ESPECIFICADOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
L00;SINDROME DA PELE ESCALDADA ESTAFILOCOCICA DO RECEM-NASCIDO
L010;IMPETIGO [QUALQUER LOCALIZACAO] [QUALQUER MICROORGANISMO]
L011;IMPETIGINIZACAO DE OUTRAS DERMATOSES
L020;ABSCESSO CUTANEO, FURUNCULO E ANTRAZ DA FACE
L021;ABSCESSO CUTANEO, FURUNCULO E ANTRAZ DO PESCOCO
L022;ABSCESSO CUTANEO, FURUNCULO E ANTRAZ DO TRONCO
L023;ABSCESSO CUTANEO, FURUNCULO E ANTRAZ DA NADEGA
L024;ABSCESSO CUTANEO, FURUNCULO E ANTRAZ DO(S) MEMBRO(S)
L028;ABSCESSO CUTANEO, FURUNCULO E ANTRAZ DE OUTRAS LOCALIZACOES
L029;ABSCESSO CUTANEO, FURUNCULO E ANTRAZ DE LOCALIZACAO NAO ESPECIFICADA
L030;CELULITE DE DEDOS DAS MAOS E DOS PES
L031;CELULITE DE OUTRAS PARTES DO(S) MEMBRO(S)
L032;CELULITE DA FACE
L033;CELULITE DO TRONCO
L038;CELULITE DE OUTROS LOCAIS
L039;CELULITE NAO ESPECIFICADA
L040;LINFADENITE AGUDA DE FACE, CABECA E PESCOCO
L041;LINFADENITE AGUDA DO TRONCO
L042;LINFADENITE AGUDA DE MEMBRO SUPERIOR
L043;LINFADENITE AGUDA DE MEMBRO INFERIOR
